,peak_heights,prominences,left_bases,right_bases,widths,width_heights,left_ips,right_ips,peak_locations,index
6,120475.98262882077,110536.77613115434,2274,2522,18.98783026519868,65207.5945632436,2311.811278959463,2330.7991092246616,2321,9
7,91865.28898586635,84868.87578620277,2522,3046,18.36795734225825,49430.85109276497,2846.656640261954,2865.0245976042124,2856,9
0,130520.26643319326,123389.09079891111,30,1340,18.701015461585456,68825.7210337377,182.87844780598382,201.57946326756928,192,10
1,120998.2184808002,114579.04272092192,862,1340,18.379199676173812,63708.697120339246,1035.0204421975518,1053.3996418737256,1044,10
2,133503.146340458,126982.06150050016,1340,1761,18.379573535668897,70012.11559020793,1567.1328282201798,1585.5124017558487,1576,10
3,138303.5954283444,131077.7162271795,1340,2028,18.55629937814433,72764.73731475463,1887.0280901834994,1905.5843895616438,1896,10
4,118079.34247886609,108589.1589027344,2028,2156,17.91161415338729,63784.76302749889,2100.800515668677,2118.712129822064,2110,10
5,180206.38708224092,173605.21472346515,1340,2538,18.59827487782377,93403.77972050835,2206.805800277785,2225.4040751556086,2216,10
6,124609.55572033804,114355.81996862727,2276,2538,17.941247800169094,67431.64573602441,2312.30101039618,2330.242258196349,2321,10
7,94824.19377640709,87800.47082023302,2538,3045,17.640270801783572,50923.95836629058,2847.0059049769507,2864.6461757787342,2856,10
0,130882.31630921499,123739.7632975714,33,1296,17.824572218795367,69012.4346604293,183.3699894014408,201.19456162023616,192,11
1,120575.11181205644,114178.26723909815,868,1296,17.731233497627272,63485.97819250736,1035.306467225979,1053.0377007236063,1044,11
2,132748.79360612558,126189.65892246546,1296,1756,17.653463937688457,69653.96414489285,1567.521275771021,1585.1747397087095,1576,11
3,139213.19114743388,131846.7529129122,1296,2030,17.822515158292617,73289.81469097779,1887.2264339776696,1905.0489491359622,1896,11
4,119898.16135934203,110110.9607100904,2030,2155,17.220416027596002,64842.681004296835,2101.170048895872,2118.390464923468,2110,11
5,179575.14522095182,172989.77848435522,1296,2567,17.909758234435685,93080.2559787742,2207.10895602246,2225.0187142568957,2216,11
6,123018.17033690495,112459.50430432636,2275,2567,17.161947991001398,66788.41818474178,2312.648267592954,2329.8102155839556,2321,11
7,94929.22622125105,87918.08624310608,2567,3042,17.200319431907246,50970.18309969801,2847.1037364873096,2864.304055919217,2856,11
0,126954.35361217851,119790.16276900275,28,1298,17.404695003724697,67059.27222767714,183.4336201664309,200.8383151701556,192,12
1,115638.44979153444,109190.82731001756,861,1298,17.51913476470645,61043.03613652566,1035.5359598218529,1053.0550945865593,1044,12
2,127869.7985611225,121189.81923258105,1298,1763,17.352993745502317,67274.88894483197,1567.8839856888696,1585.236979434372,1577,12
3,132735.72376889596,125256.8583552717,1298,2009,17.467701582422933,70107.29459126011,1887.3663661710916,1904.8340677535145,1896,12
4,115587.14880180777,105496.60757965488,2009,2156,16.928648906087346,62838.845011980324,2101.2276876379765,2118.156336544064,2110,12
5,173727.61319647296,167111.08202075528,1298,2546,17.595420941383964,90172.07218609532,2207.366214586888,2224.961635528272,2216,12
6,118588.69482883808,107612.20378747655,2273,2546,16.805686882296413,64782.592935099805,2312.7373729562337,2329.54305983853,2321,12
7,84026.80191896089,76975.58872575402,2546,3045,16.886077703011324,45539.00755608388,2847.3118965188455,2864.197974221857,2856,12
0,118690.72687759435,111539.08061570418,0,1267,17.53929630470202,62921.18656974226,183.3080330636448,200.84732936834683,192,13
1,107130.7555456128,100653.15452430562,859,1267,17.722850582354113,56804.178283459994,1035.4083782971084,1053.1312288794625,1044,13
2,118819.21794669033,112020.91168296899,1267,1758,17.678756814536655,62808.76210520584,1568.0832127653002,1585.761969579837,1577,13
3,126196.23672138568,118724.23780307833,1267,2009,17.7363380882623,66834.11781984652,1887.1925020046265,1904.9288400928888,1896,13
4,106822.25156337513,96388.55436937715,2009,2156,17.073646050998377,58627.97437868656,2100.9763513639596,2118.049997414958,2110,13
5,163851.64856151395,157258.08265432483,1267,2546,17.98478282438009,85222.60723435154,2207.1761268102005,2225.1609096345805,2216,13
6,110397.34859812324,98996.09871276576,2271,2546,16.978842169676682,60899.29924174036,2312.5735885246,2329.5524306942766,2321,13
7,76561.67285681039,69523.5431221088,2546,3043,17.248719723886552,41799.90129575599,2847.2372418666096,2864.485961590496,2856,13
0,110076.75387052938,102846.34448980736,0,1282,18.126138899700948,58653.5816256257,183.00731883823428,201.13345773793523,192,14
1,98019.51463308277,91514.41872130078,863,1282,18.34215995181262,52262.30527243238,1035.0739324902024,1053.416092442015,1044,14
2,110441.22660008084,103532.41429125384,1282,1745,18.371696636678053,58675.019454453926,1567.9655227675705,1586.3372194042486,1577,14
3,113094.21990299257,105566.11829599555,1282,2008,18.436103540290105,60311.160754994795,1886.7569554847848,1905.193059025075,1896,14
4,96942.08977266977,86238.54282410511,2008,2157,17.590740486066807,53822.81836061722,2100.6851668310755,2118.2759073171424,2109,14
5,147504.28263754683,140859.08931929443,1282,2558,18.82102040413838,77074.73797789961,2206.7793730133817,2225.60039341752,2216,14
